[0x00000c54] | SyManager            | ERROR | 2020-06-26 16:25:56,191 | DRIVER: panel connection failed
[0x0000487c] | Fairlight            | INFO  | 2020-06-26 16:25:57,887 | 00.00.02.864(001): Running Fairlight (r000775-55722853)
[0x0000487c] | UI.GLContext         | INFO  | 2020-06-26 16:25:57,936 | Creating shared OpenGL context for this thread (2 total).
[0x0000487c] | UI.GLContext         | INFO  | 2020-06-26 16:25:57,974 | Initialized OpenGL 4.6 (requested 2.0) on device 'NVIDIA Corporation GeForce GT 750M/PCIe/SSE2'
[0x00004cac] | UI.GLInterop         | INFO  | 2020-06-26 16:25:57,974 | OpenGL interop was initialized.
[0x00004cac] | GPUManager           | INFO  | 2020-06-26 16:25:57,975 | Let There Be CUDA Light, Done!!
[0x00004cac] | GPUManager           | INFO  | 2020-06-26 16:25:58,188 | Using CUDA Pinned Memory!
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:25:58,381 | Fusion Build: r067060-93f72f0c_006 (Jun  5 2020 13:11:19)
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:25:58,381 | fusionsystem: = "C:\Program Files\Blackmagic Design\DaVinci Resolve\fusionsystem.dll"
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:25:58,469 | FusionLibs: = "C:\Program Files\Blackmagic Design\DaVinci Resolve\"
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:25:58,470 | UserData:   = "C:\Users\goldt\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Support\Fusion"
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:25:58,470 | Profiles:   = "UserData:Profiles\"
[0x0000487c] | Fusion               | INFO  | 2020-06-26 16:25:58,823 | Module Handle 00000176D2320000 fusiongraphics
[0x0000071c] | UI.GLContext         | INFO  | 2020-06-26 16:25:58,928 | Creating shared OpenGL context for this thread (3 total).
[0x0000071c] | UI.GLIO              | INFO  | 2020-06-26 16:25:59,001 | OpenGL I/O worker thread ready.
[0x0000487c] | UI.GLIO              | INFO  | 2020-06-26 16:25:59,001 | OpenGL I/O setup done.
[0x0000336c] | UI.GLContext         | INFO  | 2020-06-26 16:25:59,002 | Creating shared OpenGL context for this thread (4 total).
[0x0000336c] | UI.Scopes            | INFO  | 2020-06-26 16:25:59,075 | Initialized GPU Scopes Manager on device 'GeForce GT 750M'
[0x0000487c] | UI                   | WARN  | 2020-06-26 16:25:59,209 | Failed to find value '0' in combo-box
